Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S124396228,Snow Goose,Anser caerulescens,252,2,US-CA,San Diego,L506275,San Diego River mudflats & Robb Field,32.7567009,-117.2392788,2022-12-21,03:59 PM,eBird - Traveling Count,55,1,.805,,4,,"Continuing juvenile birds, first on the mudflats west of the Sunset Cliffs Blvd bridge, then flew to the fields at dusk. Photos.",,515723191
S143178850,Snow Goose,Anser caerulescens,252,1,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2023-06-30,01:02 PM,eBird - Traveling Count,16,1,.467,,2,,"Continuing. White goose in the north end of the Casey Forebay. (37.4355887, -122.0990641). Red bill relatively large with black grinpatch.",,591750231 591750241
S125995570,Snow Goose,Anser caerulescens,252,7,US-CA,Santa Clara,L2597366,Coyote Valley--Laguna Ave.,37.1871074,-121.7367554,2023-01-12,07:11 AM,eBird - Traveling Count,120,1,1.83,,2,,Counted individually. Seen with the flock of Canada Geese on the north side of Laguna Ave. Photos attached.,,523325071
S125866570,Snow Goose,Anser caerulescens,252,2,US-CA,Santa Clara,L776813,Sunnyvale WPCP--Pond A4,37.4219806,-122.007637,2023-01-10,07:33 AM,eBird - Traveling Count,49,1,1.26,,2,,,,522862661
S124344681,Ross's Goose,Anser rossii,256,5,US-CA,Imperial,L465122,Sonny Bono Salton Sea NWR--Rock Hill Trail,33.1788315,-115.6226921,2022-12-20,12:02 PM,eBird - Traveling Count,65,1,1.287,,4,,We could only find a few among the Snow Geese.,,515516401
S145749401,Swan Goose (Domestic type),Anser cygnoides (Domestic type),265,1,US-AZ,Pima,L227274,Reid Park,32.2102866,-110.9235907,2023-07-23,05:51 PM,eBird - Traveling Count,47,1,.34,,2,,,,598157111
S125995570,Greater White-fronted Goose,Anser albifrons,267,32,US-CA,Santa Clara,L2597366,Coyote Valley--Laguna Ave.,37.1871074,-121.7367554,2023-01-12,07:11 AM,eBird - Traveling Count,120,1,1.83,,2,,Counted individually. Seen with the flock of Canada Geese on the north side of Laguna Ave. Photos attached.,,523325111 523325121 523325131
S120802299,Greater White-fronted Goose,Anser albifrons,267,4,US-CA,Santa Clara,L470022,Hellyer County Park,37.2810873,-121.8110847,2022-10-16,07:53 AM,eBird - Traveling Count,178,1,5.38,,1,,,,494470521
S121214112,Greater White-fronted Goose,Anser albifrons,267,29,US-CA,Santa Clara,L470022,Hellyer County Park,37.2810873,-121.8110847,2022-10-23,10:09 AM,eBird - Traveling Count,160,1,5.21,,2,,exact count,,496902981
S115272577,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),289,4,US-CA,Santa Clara,L280388,Almaden Lake Park,37.2415899,-121.8727098,2022-07-17,09:18 AM,eBird - Traveling Count,106,1,1.89,,2
S124396228,Brant,Branta bernicla,291,23,US-CA,San Diego,L506275,San Diego River mudflats & Robb Field,32.7567009,-117.2392788,2022-12-21,03:59 PM,eBird - Traveling Count,55,1,.805,,4
S115882044,Brant,Branta bernicla,291,1,US-CA,Santa Clara,L776809,Sunnyvale WPCP--East Pond,37.4286605,-122.0139885,2022-07-27,03:15 PM,eBird - Traveling Count,50,1,2.414,,2,,"Continuing. Seen in the channel on the right side of the trail, specifically, to the east of the east pond, about 3/4 of the way from the trailhead to the north bend of the pond. We saw the bird near a large flock of Mallards, but we were able to identify the Brant by the black head, slightly larger size than Mallard, brown body, and larger white rump. We observed the bird swimming back and forth with the Mallards in the channel for about 10 minutes before deciding to move on.","I had decided to take a break this afternoon per the suggestion of my friend, Tristan. We headed out towards the Sunnyvale WPCP in order to look for Brant. About a week ago, we had come here in the evening to look for Brant but to no avail. Sadly, we saw that people had seen Brant in the spot we looked just the day before and the day after. Then, Tristan went again and looped around three times without seeing it. Despite our previous failures, this time we were determined to find the goose. We parked on the street outside the pollution plant because Tristan had seen the plant parking lot was closed on Monday. We got our bikes from outside of the trunk and then rode together to the east pond. Along the way, Tristan was trying out his new camera and photographing Common Gallinules and Ruddy Duck. We continued biking before we were confronted by a wall of Mallard, Dowitchers, and Pelicans. We slowly progressed through, when suddenly I saw a goose with a black head and neck in the channel to the right of the trail. Without thinking, I exclaimed ""Isn't that it? Isn't that Brant?"" Tristan and I were elated to see that it was indeed Brant, swimming near the huge flock of Mallards we had seen earlier. We watched it swim back and forth in the channel among the Mallards. Tristan commented that it looked very similar to the Mallards, but I thought the white rump and black head made it stand out, although the size was only slightly bigger. We watched it for around 10 minutes before heading back home. We were very pleased with the outing: I had gotten my 300th species (Brant) and Tristan got his 150th and 151st (Long-billed Dowitcher and Brant). However we decided to just say Brant was 150th and Dowitcher was 151st.",470613941 470613961
S132642108,Brant,Branta bernicla,291,3,US-MA,Suffolk,L521509,Revere Beach--Pink Apartments,42.4205103,-70.9857291,2023-04-02,08:10 AM,eBird - Traveling Count,23,1,.247,,2
S132886716,Brant,Branta bernicla,291,10,US-MA,Suffolk,L521509,Revere Beach--Pink Apartments,42.4205103,-70.9857291,2023-04-02,06:41 PM,eBird - Stationary Count,12,0,,,2
S132642002,Brant,Branta bernicla,291,100,US-MA,Suffolk,L453703,Revere Beach--South End,42.4022912,-70.9894466,2023-04-02,07:08 AM,eBird - Traveling Count,58,1,1.021,,2,,,,554563001
S132886681,Brant,Branta bernicla,291,50,US-MA,Suffolk,L453703,Revere Beach--South End,42.4022912,-70.9894466,2023-04-02,06:45 PM,eBird - Stationary Count,23,1,,,2
S135450485,Brant (Atlantic),Branta bernicla hrota,293,250,US-NY,Kings,L444485,Plumb Beach,40.5823284,-73.9153746,2023-04-27,01:10 PM,eBird - Traveling Count,88,1,2.96,,1,,,,564495251 564495261
S130249630,Cackling Goose,Branta hutchinsii,308,30,US-CO,Boulder,L1144317,University of Colorado campus--Confluence Ponds and Skunk Creek,40.0132195,-105.2448606,2023-03-05,11:12 AM,eBird - Traveling Count,33,1,.99,,1,,,,543146231 543171591 543171601 543171611
S120802299,Cackling Goose,Branta hutchinsii,308,1,US-CA,Santa Clara,L470022,Hellyer County Park,37.2810873,-121.8110847,2022-10-16,07:53 AM,eBird - Traveling Count,178,1,5.38,,1,,With Mallard for size comparison,,494470581 494470591 494470601 494470611
S121214112,Cackling Goose,Branta hutchinsii,308,5,US-CA,Santa Clara,L470022,Hellyer County Park,37.2810873,-121.8110847,2022-10-23,10:09 AM,eBird - Traveling Count,160,1,5.21,,2,,,,496903001
S122390098,Cackling Goose,Branta hutchinsii,308,2,US-CA,Santa Clara,L470022,Hellyer County Park,37.2810873,-121.8110847,2022-11-11,10:22 AM,eBird - Traveling Count,147,1,5.71,,2,,,,503484151
S124871955,Cackling Goose,Branta hutchinsii,308,20,US-CA,Santa Clara,L279253,Lake Cunningham,37.3354711,-121.8062038,2022-12-29,08:32 AM,eBird - Traveling Count,103,1,3.46,,2,,Flock seen flying and calling with much higher pitched calls than Canada geese.
S124344681,Cackling Goose (minima),Branta hutchinsii minima,311,1,US-CA,Imperial,L465122,Sonny Bono Salton Sea NWR--Rock Hill Trail,33.1788315,-115.6226921,2022-12-20,12:02 PM,eBird - Traveling Count,65,1,1.287,,4,,Tiny Cackling Goose mixed in with Snow and Ross’s Goose flock. Dark breast with no white crescent at the base of the neck. Photos.,,515516251
S130181502,Canada Goose,Branta canadensis,319,13,US-CO,Adams,L167924,Rocky Mountain Arsenal NWR,39.8209707,-104.8680639,2023-03-04,01:23 PM,eBird - Traveling Count,75,1,18.43,,1
S72014710,Canada Goose,Branta canadensis,319,15,US-CA,Alameda,L484238,Albany Mudflats,37.892331,-122.3117995,2020-07-31,06:40 PM,eBird - Traveling Count,30,0,1.287,,2
S133990610,Canada Goose,Branta canadensis,319,15,US-CA,Alameda,L216132,Coyote Hills Regional Park,37.553764,-122.0875025,2023-04-16,08:46 AM,eBird - Traveling Count,100,1,6.53,,1
S147793337,Canada Goose,Branta canadensis,319,6,US-CA,Alameda,L2484413,Hayward Regional Shoreline--Hayward's Landing,37.6453302,-122.1558022,2023-08-19,08:30 AM,eBird - Traveling Count,59,1,.32,,2
S130074643,Canada Goose,Branta canadensis,319,15,US-NY,Albany,L549972,Cohoes Flats,42.7761411,-73.6933064,2023-03-03,12:25 PM,eBird - Stationary Count,10,1,,,2
S120625066,Canada Goose,Branta canadensis,319,5,US-MA,Berkshire,L1851035,"Laurel Lake, Lee",42.3254193,-73.2708883,2022-10-13,05:40 PM,eBird - Traveling Count,20,1,.8,,2
S130248663,Canada Goose,Branta canadensis,319,75,US-CO,Boulder,L1144881,Boulder Creek--CU East Campus,40.0120691,-105.2481222,2023-03-05,10:39 AM,eBird - Traveling Count,30,1,1.48,,1
S130249630,Canada Goose,Branta canadensis,319,20,US-CO,Boulder,L1144317,University of Colorado campus--Confluence Ponds and Skunk Creek,40.0132195,-105.2448606,2023-03-05,11:12 AM,eBird - Traveling Count,33,1,.99,,1
S72014711,Canada Goose,Branta canadensis,319,100,US-CA,Contra Costa,L593834,Miller/Knox Regional Shoreline,37.9162036,-122.3865795,2020-06-19,10:00 AM,eBird - Traveling Count,101,1,2.414,,2
S132498188,Canada Goose,Branta canadensis,319,3,US-MA,Essex,L5377825,Flat Point,42.648333,-70.5922651,2023-04-02,12:59 PM,eBird - Traveling Count,17,1,.17,,2
S132780216,Canada Goose,Branta canadensis,319,2,US-MA,Hampden,L330361,Fannie Stebbins Wildlife Refuge,42.0332033,-72.5975322,2023-04-03,09:09 AM,eBird - Traveling Count,139,1,2.45,,2
S132780206,Canada Goose,Branta canadensis,319,25,US-MA,Hampden,L675885,Longmeadow Flats--Pondside Road,42.0506311,-72.5920343,2023-04-03,11:30 AM,eBird - Traveling Count,43,1,2.13,,2
S112893937,Canada Goose,Branta canadensis,319,10,US-WA,King,L461155,Gene Coulon Memorial Beach Park,47.5077222,-122.2022152,2022-06-13,04:54 PM,eBird - Traveling Count,17,1,.97,,1,,,,470631161
S124382910,Canada Goose,Branta canadensis,319,1,US-CA,Los Angeles,L198793,Del Rey Lagoon Park,33.9610802,-118.4507315,2022-12-19,08:29 AM,eBird - Traveling Count,23,1,.394,,4,,"Weird, flying out to sea."
S124272956,Canada Goose,Branta canadensis,319,15,US-CA,Los Angeles,L3106098,Hollenbeck Park--Los Angeles (LA Co.),34.0395573,-118.2180405,2022-12-19,12:20 PM,eBird - Traveling Count,15,1,.2,,4
S117743433,Canada Goose,Branta canadensis,319,40,US-CA,Marin,L218324,Pt. Reyes--Abbotts Lagoon,38.1190611,-122.9522467,2022-08-27,02:53 PM,eBird - Traveling Count,85,1,3.03,,2
S123081230,Canada Goose,Branta canadensis,319,4,US-CA,Orange,L109339,"IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine",33.6637274,-117.8426814,2022-11-24,01:53 PM,eBird - Traveling Count,146,1,3.,,1
S113017685,Canada Goose,Branta canadensis,319,8,US-WA,Pierce,L19659460,Alder Lake Park,46.8004248,-122.2931652,2022-06-15,02:53 PM,eBird - Traveling Count,17,1,.8,,1
S135133315,Canada Goose,Branta canadensis,319,37,US-NY,Rensselaer,L6814138,Knickerbocker Rd.,42.9039133,-73.6470587,2023-04-26,04:24 PM,eBird - Traveling Count,86,1,6.47,,1
S124226071,Canada Goose,Branta canadensis,319,20,US-CA,San Mateo,L997003,"Coyote Point County Park--yacht club, harbor and freshwater marsh",37.5886459,-122.3152274,2022-12-18,01:30 PM,eBird - Traveling Count,150,1,1.609,,4
S126546535,Canada Goose,Branta canadensis,319,2,US-CA,Santa Clara,L7412854,Agnews Historic Park,37.39324,-121.954311,2023-01-20,07:12 AM,eBird - Traveling Count,70,1,2.81,,1,,Flying  and calling in the distance.
S115272577,Canada Goose,Branta canadensis,319,50,US-CA,Santa Clara,L280388,Almaden Lake Park,37.2415899,-121.8727098,2022-07-17,09:18 AM,eBird - Traveling Count,106,1,1.89,,2
S144437052,Canada Goose,Branta canadensis,319,8,US-CA,Santa Clara,L22057619,Applied Materials Bowers Campus,37.3785484,-121.9800886,2023-07-13,10:50 AM,eBird - Traveling Count,16,1,1.066,,1,F Flyover
S120011319,Canada Goose,Branta canadensis,319,20,US-CA,Santa Clara,L4309025,Central Park,37.3427558,-121.975193,2022-10-05,07:31 AM,eBird - Traveling Count,66,1,2.16,,1
S124023002,Canada Goose,Branta canadensis,319,50,US-CA,Santa Clara,L4309025,Central Park,37.3427558,-121.975193,2022-12-15,07:23 AM,eBird - Traveling Count,52,1,2.13,,1
S131503968,Canada Goose,Branta canadensis,319,15,US-CA,Santa Clara,L4309025,Central Park,37.3427558,-121.975193,2023-03-21,04:49 PM,eBird - Traveling Count,27,1,1.19,,1
S133370248,Canada Goose,Branta canadensis,319,60,US-CA,Santa Clara,L4309025,Central Park,37.3427558,-121.975193,2023-04-10,04:53 PM,eBird - Traveling Count,61,1,1.86,,1,,Lots of fuzzy goslings ❤️,,556747701 556747711 556747721 556747731
S114822654,Canada Goose,Branta canadensis,319,10,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2022-07-10,08:33 AM,eBird - Traveling Count,31,1,.55,,2
S116589414,Canada Goose,Branta canadensis,319,6,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2022-08-08,07:00 AM,eBird - Traveling Count,40,1,2.,,2
S116848071,Canada Goose,Branta canadensis,319,80,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2022-08-13,07:08 AM,eBird - Traveling Count,40,1,.805,,3,,One deceased.
S116847818,Canada Goose,Branta canadensis,319,50,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2022-08-13,08:05 AM,eBird - Stationary Count,15,1,,,3,,,Standing at the hidden pond.
S117073974,Canada Goose,Branta canadensis,319,8,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2022-08-16,05:55 PM,eBird - Traveling Count,102,1,1.89,,1
S121478898,Canada Goose,Branta canadensis,319,8,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2022-10-28,02:31 PM,eBird - Traveling Count,104,1,3.64,,1
S124654445,Canada Goose,Branta canadensis,319,2,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2022-12-25,01:58 PM,eBird - Traveling Count,56,1,1.25,,1
S131655104,Canada Goose,Branta canadensis,319,3,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2023-03-23,05:23 PM,eBird - Traveling Count,75,1,.7,,1
S136726046,Canada Goose,Branta canadensis,319,1,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2023-05-08,06:27 PM,eBird - Traveling Count,23,1,.28,,1
S124654548,Canada Goose,Branta canadensis,319,2,US-CA,Santa Clara,L3435985,Coyote Creek Parkway--Coyote Ranch vicinity,37.2202135,-121.741519,2022-12-26,08:19 AM,eBird - Traveling Count,171,1,3.621,,3
S132302707,Canada Goose,Branta canadensis,319,9,US-CA,Santa Clara,L3334996,Coyote Creek Trail--Sycamore Dr. access,37.4060709,-121.920712,2023-03-31,06:57 AM,eBird - Traveling Count,98,1,2.52,,2
S133268751,Canada Goose,Branta canadensis,319,10,US-CA,Santa Clara,L21521025,Coyote Lake CP--Lakeview Campground,37.0809468,-121.530652,2023-04-08,07:31 AM,eBird - Traveling Count,104,1,1.91,,1
S133268747,Canada Goose,Branta canadensis,319,2,US-CA,Santa Clara,L3144395,Coyote Lake CP--dam area,37.1179463,-121.5511572,2023-04-08,09:30 AM,eBird - Traveling Count,71,1,1.27,,1
S133268755,Canada Goose,Branta canadensis,319,3,US-CA,Santa Clara,L458984,Coyote Lake County Park (please use a more specific hotspot where possible),37.0887317,-121.5392609,2023-04-08,10:55 AM,eBird - Traveling Count,19,1,.29,,1,,,Cooper's Point.
S125995570,Canada Goose,Branta canadensis,319,150,US-CA,Santa Clara,L2597366,Coyote Valley--Laguna Ave.,37.1871074,-121.7367554,2023-01-12,07:11 AM,eBird - Traveling Count,120,1,1.83,,2
S145053187,Canada Goose,Branta canadensis,319,2,US-CA,Santa Clara,L2597366,Coyote Valley--Laguna Ave.,37.1871074,-121.7367554,2023-07-11,06:23 PM,eBird - Traveling Count,31,1,1.35,,1
S129070719,Canada Goose,Branta canadensis,319,4,US-CA,Santa Clara,L759446,Crittenden Marsh (Stevens Creek Nature Study Area),37.4309097,-122.0660019,2023-02-19,10:13 AM,eBird - Traveling Count,62,1,1.38,,2
S145871679,Canada Goose,Branta canadensis,319,30,US-CA,Santa Clara,L7797854,Don Edwards NWR--Env. Ed. Ctr. (EEC) and nearby upland areas,37.438916,-121.959456,2023-07-28,07:43 PM,eBird - Traveling Count,40,1,1.44,,1
S146278898,Canada Goose,Branta canadensis,319,9,US-CA,Santa Clara,L7797854,Don Edwards NWR--Env. Ed. Ctr. (EEC) and nearby upland areas,37.438916,-121.959456,2023-08-02,08:04 AM,eBird - Traveling Count,26,1,1.41,,1
S117303541,Canada Goose,Branta canadensis,319,1,US-CA,Santa Clara,L337098,Don Edwards NWR--New Chicago Marsh,37.4378422,-121.9631109,2022-08-20,12:31 PM,eBird - Traveling Count,87,1,1.54,,1
S145871676,Canada Goose,Branta canadensis,319,4,US-CA,Santa Clara,L1764908,Don Edwards NWR--entrance road (Grand Blvd.) between tracks and gate,37.4334652,-121.9614815,2023-07-28,06:59 PM,eBird - Traveling Count,43,1,1.16,,1
S146278883,Canada Goose,Branta canadensis,319,8,US-CA,Santa Clara,L1764908,Don Edwards NWR--entrance road (Grand Blvd.) between tracks and gate,37.4334652,-121.9614815,2023-08-02,07:33 AM,eBird - Traveling Count,26,1,.6,,1
S146278914,Canada Goose,Branta canadensis,319,3,US-CA,Santa Clara,L1764908,Don Edwards NWR--entrance road (Grand Blvd.) between tracks and gate,37.4334652,-121.9614815,2023-08-02,08:34 AM,eBird - Traveling Count,9,1,.4,,1
S146661996,Canada Goose,Branta canadensis,319,3,US-CA,Santa Clara,L1764908,Don Edwards NWR--entrance road (Grand Blvd.) between tracks and gate,37.4334652,-121.9614815,2023-08-06,06:57 AM,eBird - Traveling Count,24,1,.63,,2
S117275791,Canada Goose,Branta canadensis,319,25,US-CA,Santa Clara,L2698912,Ed Levin CP--Sandy Wool-Elm areas,37.4559362,-121.8632054,2022-08-20,09:00 AM,eBird - Traveling Count,100,1,4.5,,2
S129642930,Canada Goose,Branta canadensis,319,2,US-CA,Santa Clara,L2698912,Ed Levin CP--Sandy Wool-Elm areas,37.4559362,-121.8632054,2023-02-25,10:47 AM,eBird - Traveling Count,12,1,.27,,1
S143169607,Canada Goose,Branta canadensis,319,30,US-CA,Santa Clara,L2698912,Ed Levin CP--Sandy Wool-Elm areas,37.4559362,-121.8632054,2023-06-29,07:10 PM,eBird - Traveling Count,104,1,4.97,,2
S123546412,Canada Goose,Branta canadensis,319,45,US-CA,Santa Clara,L4197326,Guadalupe River Park,37.3439932,-121.9047475,2022-12-05,01:25 PM,eBird - Traveling Count,157,1,4.11,,1
S127841279,Canada Goose,Branta canadensis,319,30,US-CA,Santa Clara,L4197326,Guadalupe River Park,37.3439932,-121.9047475,2023-02-07,07:16 AM,eBird - Traveling Count,102,1,1.09,,1,,,,532730921
S133014714,Canada Goose,Branta canadensis,319,15,US-CA,Santa Clara,L4197326,Guadalupe River Park,37.3439932,-121.9047475,2023-04-07,01:56 PM,eBird - Traveling Count,144,1,3.99,,1,,,"Not as many migrants as I had hoped, but wintering vagrants are good too!",555845311 555845321 555845331
S133455074,Canada Goose,Branta canadensis,319,8,US-CA,Santa Clara,L4197326,Guadalupe River Park,37.3439932,-121.9047475,2023-04-09,07:13 AM,eBird - Traveling Count,157,1,4.26,,1
S137302303,Canada Goose,Branta canadensis,319,25,US-CA,Santa Clara,L4197326,Guadalupe River Park,37.3439932,-121.9047475,2023-05-12,05:13 PM,eBird - Traveling Count,112,1,3.69,,1,,Lots of fluffy goslings,,573817041 573817051
S142085367,Canada Goose,Branta canadensis,319,10,US-CA,Santa Clara,L4197326,Guadalupe River Park,37.3439932,-121.9047475,2023-06-19,07:47 AM,eBird - Traveling Count,142,1,3.63,,1
S123576216,Canada Goose,Branta canadensis,319,25,US-CA,Santa Clara,L8186190,Guadalupe River Trail--Trimble Rd. to Montague Expwy,37.389385,-121.937727,2022-12-06,01:45 PM,eBird - Traveling Count,145,1,4.,,1
S129339142,Canada Goose,Branta canadensis,319,2,US-CA,Santa Clara,L5197389,Guadalupe River Trail--lower,37.4224609,-121.9757241,2023-02-21,03:35 PM,eBird - Traveling Count,47,1,.94,,1
S123614482,Canada Goose,Branta canadensis,319,2,US-CA,Santa Clara,L678891,Guadalupe River Trail--north San Jose,37.4011703,-121.944927,2022-12-07,02:00 PM,eBird - Traveling Count,113,1,2.4,,1,,,,511064281
S116929538,Canada Goose,Branta canadensis,319,11,US-CA,Santa Clara,L387620,Harvey Marsh,37.4156239,-121.9809008,2022-08-14,07:45 AM,eBird - Traveling Count,66,1,1.84,,1
S127102560,Canada Goose,Branta canadensis,319,25,US-CA,Santa Clara,L387620,Harvey Marsh,37.4156239,-121.9809008,2023-01-28,07:09 AM,eBird - Traveling Count,187,1,3.75,,2
S117190171,Canada Goose,Branta canadensis,319,6,US-CA,Santa Clara,L470022,Hellyer County Park,37.2810873,-121.8110847,2022-08-18,06:35 PM,eBird - Traveling Count,73,1,1.73,,2
S120802299,Canada Goose,Branta canadensis,319,30,US-CA,Santa Clara,L470022,Hellyer County Park,37.2810873,-121.8110847,2022-10-16,07:53 AM,eBird - Traveling Count,178,1,5.38,,1
S121214112,Canada Goose,Branta canadensis,319,80,US-CA,Santa Clara,L470022,Hellyer County Park,37.2810873,-121.8110847,2022-10-23,10:09 AM,eBird - Traveling Count,160,1,5.21,,2
S122390098,Canada Goose,Branta canadensis,319,200,US-CA,Santa Clara,L470022,Hellyer County Park,37.2810873,-121.8110847,2022-11-11,10:22 AM,eBird - Traveling Count,147,1,5.71,,2,,,,503485231 503485251
S124667687,Canada Goose,Branta canadensis,319,150,US-CA,Santa Clara,L470022,Hellyer County Park,37.2810873,-121.8110847,2022-12-26,01:55 PM,eBird - Traveling Count,121,1,3.537,,3
S129742093,Canada Goose,Branta canadensis,319,12,US-CA,Santa Clara,L470022,Hellyer County Park,37.2810873,-121.8110847,2023-02-26,08:19 AM,eBird - Traveling Count,126,1,2.448,,10,,,"SCVAS field trip led by Vivek Tiwari and co-lead by Sergey Pavlov. For info on future trips, visit https://scvas.org/fieldtrips."
S139511729,Canada Goose,Branta canadensis,319,3,US-CA,Santa Clara,L470022,Hellyer County Park,37.2810873,-121.8110847,2023-05-27,06:44 AM,eBird - Traveling Count,78,1,2.24,,1,,,North of where Coyote Creek has claimed the road
S139511838,Canada Goose,Branta canadensis,319,80,US-CA,Santa Clara,L470022,Hellyer County Park,37.2810873,-121.8110847,2023-05-27,08:09 AM,eBird - Stationary Count,102,1,,,1,,,Drove around the park to bird south of where Coyote Creek prevents crossing,578619491
S142995148,Canada Goose,Branta canadensis,319,200,US-CA,Santa Clara,L470022,Hellyer County Park,37.2810873,-121.8110847,2023-06-28,05:39 PM,eBird - Traveling Count,60,1,2.041,,2
S147823820,Canada Goose,Branta canadensis,319,100,US-CA,Santa Clara,L470022,Hellyer County Park,37.2810873,-121.8110847,2023-08-21,05:13 PM,eBird - Traveling Count,98,1,2.1,,2
S120715722,Canada Goose,Branta canadensis,319,15,US-CA,Santa Clara,L7718923,Jollyman Park,37.3103178,-122.0408267,2022-10-15,09:18 AM,eBird - Traveling Count,56,1,2.52,,1
S122390030,Canada Goose,Branta canadensis,319,12,US-CA,Santa Clara,L4110180,Joseph D. Grant CP--Grant Lake,37.3436434,-121.7172099,2022-11-11,06:21 AM,eBird - Traveling Count,50,1,1.53,,1
